Sex,Age,Height,Weight,Team,Sport,Event,Medal
1,28.0,174.0,73.0,327,19,261,0
1,35.0,174.0,75.0,328,9,127,0
1,24.0,184.0,80.0,205,11,144,0
1,33.0,169.0,55.0,261,3,64,0
0,30.0,162.0,50.0,395,17,254,1
1,40.0,175.0,67.0,428,37,380,1
1,39.0,167.0,67.0,73,37,383,0
1,28.0,175.0,68.0,329,9,127,0
0,28.0,168.0,61.0,73,13,194,1
1,23.0,177.0,79.0,457,19,261,1
1,21.0,193.0,90.0,336,53,519,1
0,21.0,184.0,82.0,423,52,518,1
1,24.0,182.0,73.0,143,8,112,1
1,22.0,171.0,85.0,205,54,528,1
0,24.0,160.0,54.0,365,8,118,0
1,23.0,177.0,70.0,371,29,323,0
1,24.0,188.0,69.0,44,16,242,0
0,27.0,173.0,77.0,73,33,348,0
0,23.0,168.0,77.0,310,3,100,0
1,25.0,192.0,102.0,156,10,139,0
1,21.0,192.0,98.0,200,10,132,0
0,25.0,170.0,65.0,141,0,7,1
1,21.0,188.0,89.0,429,44,462,1
1,26.0,183.0,79.0,429,3,40,1
1,27.0,175.0,75.0,380,53,519,0
1,28.0,175.0,67.0,415,10,140,0
1,23.0,166.0,66.0,20,55,564,0
1,35.0,182.0,148.0,156,54,532,0
0,31.0,172.0,65.0,73,43,444,1
0,20.0,174.0,71.0,83,11,166,0
0,20.0,176.0,75.0,156,44,483,1
0,30.0,167.0,60.0,278,16,243,0
0,27.0,180.0,75.0,278,3,91,0
0,28.0,182.0,65.0,65,8,120,0
1,30.0,180.0,64.0,259,10,136,0
1,22.0,210.0,98.0,65,52,517,0
1,16.0,175.0,75.0,14,0,2,0
1,26.0,190.0,125.0,105,3,68,0
1,22.0,177.0,78.0,392,25,300,1
1,44.0,173.0,70.0,143,16,240,1
1,29.0,193.0,94.0,429,53,519,0
0,35.0,173.0,83.0,376,3,100,1
1,24.0,170.0,67.0,99,19,261,0
1,27.0,195.0,87.0,370,44,458,0
1,21.0,178.0,77.0,446,0,2,0
1,22.0,163.0,52.0,384,3,31,0
1,27.0,170.0,65.0,376,22,285,1
1,21.0,168.0,67.0,185,22,278,0
1,29.0,193.0,87.0,32,3,41,1
1,24.0,175.0,76.0,395,12,173,0
1,22.0,177.0,82.0,429,25,300,0
1,28.0,170.0,60.0,261,10,130,0
0,15.0,147.0,38.0,380,22,292,0
1,31.0,176.0,85.0,83,37,378,1
0,19.0,185.0,88.0,122,33,344,1
1,26.0,180.0,76.0,24,24,298,1
0,22.0,183.0,83.0,429,3,95,0
1,22.0,185.0,80.0,156,44,462,1
1,22.0,184.0,78.0,376,53,519,1
0,25.0,180.0,65.0,166,44,476,0
1,34.0,176.0,63.0,143,17,245,1
1,17.0,190.0,78.0,416,44,457,0
0,22.0,158.0,57.0,371,43,440,0
1,24.0,160.0,58.0,83,22,282,1
1,17.0,190.0,83.0,363,53,519,0
0,30.0,172.0,57.0,44,3,81,0
1,23.0,185.0,72.0,429,3,31,1
